"Company ID","Target Account","Last Modified Date","Lead Status","Total Revenue","Postal Code","Twitter Followers","Company Domain Name","Last Touch Converting Campaign","First Touch Converting Campaign","Recent Deal Close Date","Number of Pageviews","Number of Employees","Campaign of last booking in meetings tool","Number of decision makers","Time of Last Session","Time of First Session","Number of blockers","Close Date","Ideal Customer Profile Tier","Facebook Fans","Number of Associated Deals","Last Logged Call Date","Recent Deal Amount","Number of times contacted","First Conversion Date","Last Open Task Date","Original Source Type","First Deal Created Date","Number of Form Submissions","Medium of last booking in meetings tool","Facebook Company Page","Create Date","LinkedIn Bio","First Conversion","Date of last meeting booked in meetings tool","City","Company name","Number of child companies","Total open deal value","Number of Sessions","Phone Number","Last Engagement Date","Company owner","About Us","Last Activity Date","Next Activity Date","Source of last booking in meetings tool","Owner Assigned Date","State/Region","LinkedIn Company Page","Total Money Raised","Number of Associated Contacts","Original Source Data 1","Recent Conversion Date","Number of contacts with a buying role","Original Source Data 2","Lifecycle Stage","Last Booked Meeting Date","Last Contacted","Street Address","Recent Conversion","HubSpot Team","Twitter Bio","Web Technologies","Country/Region","First Contact Create Date","Time Zone","Time Last Seen","Time First Seen","Type","Website URL","Year Founded","Twitter Handle","Google Plus Page","Days to Close","Description","Annual Revenue","Parent Company","Industry","Object create date/time","Street Address 2","Is Public","Number of open deals","Associated Company ID","Associated Company","Additional Domains"
"7200147715","","2021-11-01 14:46","","","","","loekito.co.id","","","","1.0","","","0.0","2021-11-01 14:45","2021-11-01 14:45","0.0","","","","","","","","2021-11-01 14:45","","Direct Traffic","","1.0","","","2021-11-01 14:45","","Relomate: .col-12, .login-form","","","loekito.co.id","0.0","","1.0","","","","","","","","","","","","1.0","app.relomate.co/login","2021-11-01 14:45","0.0","","","","","","Relomate: .col-12, .login-form","","","","","2021-11-01 14:45","","2021-11-01 14:45","2021-11-01 14:45","","loekito.co.id","","","","","","","","","","","","0.0","","",""
"7183220129","","2021-10-28 19:28","","","10160","","goldenrama.com","","","","1.0","500.0","","0.0","2021-10-28 19:27","2021-10-28 19:27","0.0","","","","","","","","2021-10-28 19:27","","Direct Traffic","","1.0","","https://facebook.com/goldenramatours","2021-10-28 19:27","Berdiri sejak 1971, Golden Rama tour and travel melayani produk tour, paket wisata, dan cruise ke seluruh tempat liburan menarik di seluruh dunia","Relomate: .col-12, .login-form","","Jakarta Pusat","Golden Rama Tours","0.0","","1.0"," +62 21 29631900","","","","","","","","Daerah Khusus Ibukota Jakarta","https://www.linkedin.com/company/pt-golden-rama-express","","1.0","app.relomate.co/login","2021-10-28 19:27","0.0","","","","","75 Jalan Tanah Abang II","Relomate: .col-12, .login-form","","","Route 53; Nginx; Hotjar; Google Tag Manager; Facebook Connect; Facebook Advertiser; Zopim; Google Maps; App Nexus; Google Analytics; MaxCDN; AddThis","Indonesia","2021-10-28 19:27","Asia/Jakarta","2021-10-28 19:27","2021-10-28 19:27","","goldenrama.com","1971","GoldenRamaTours","","","Berdiri sejak 1971, Golden Rama tour and travel melayani produk tour, paket wisata, dan cruise ke seluruh tempat liburan menarik di seluruh dunia","2.5E8","","","","","false","0.0","","",""
"7159578459","","2021-11-02 12:47","","","","","alltransindocargo.com.au","","","","6.0","","","0.0","2021-11-02 12:46","2021-10-14 21:09","0.0","","","","","","","","2021-10-23 15:42","","Direct Traffic","","1.0","","","2021-10-23 15:42","Alltrans Indo Cargo 19 Cresswell Avenue Williams Landing, VIC 3027 Phone: 03 8360 9848 Fax: 03 8360 9848","Relomate: .col-12, .login-form","","","alltransindocargo.com.au","0.0","","5.0","","","","","","","","","","","","1.0","app.relomate.co/registration","2021-10-23 15:42","0.0","","","","","","Relomate: .col-12, .login-form","","","","","2021-10-23 15:42","","2021-11-02 12:46","2021-10-14 21:09","","alltransindocargo.com.au","","","","","Alltrans Indo Cargo 19 Cresswell Avenue Williams Landing, VIC 3027 Phone: 03 8360 9848 Fax: 03 8360 9848","","","","","","","0.0","","",""
"7116193603","","2021-11-04 01:28","","","","","relomate.com.au","","","","7.0","","","0.0","2021-11-04 01:28","2021-10-15 14:11","0.0","","","","","","","","2021-10-15 16:28","","Direct Traffic","","2.0","","","2021-10-15 16:28","","Relomate: .col-12, .login-form","","","relomate.com.au","0.0","","6.0","","","","","","","","","","","","1.0","app.relomate.co/login","2021-10-15 16:28","0.0","","","","","","Relomate: .col-12, .login-form","","","","","2021-10-15 16:28","","2021-11-04 01:28","2021-10-15 14:11","","relomate.com.au","","","","","","","","","","","","0.0","","",""
"7096653197","","2021-10-12 18:35","","","14240","","gate-tour.com","","","","1.0","","","0.0","2021-10-12 18:34","2021-10-12 15:49","0.0","","","","","","","","2021-10-12 18:34","","Direct Traffic","","1.0","","","2021-10-12 18:34","Qwords.com Web Hosting Indonesia Murah, Reliable Fast Web Hosting With Reasonable Price, Indonesia Web Hosting Murah services, Indonesia Hosting Murah","Relomate: .row, .registration-form","","Jakarta","Gate Tour","0.0","","2.0"," +62 21 45871122","","","","","","","","Jakarta Utara","","","1.0","app.relomate.co/registration","2021-10-12 18:34","0.0","","","","","RUKAN CITY HOME BLOK M NO 15 KOMPLEK MALL OF INDONESIA RUKAN CITY HOME BLOK M NO 15 KOMPLEK MALL OF INDONESIA","Relomate: .row, .registration-form","","","Wordpress; MaxCDN; Woo Commerce","Indonesia","2021-10-12 18:34","Asia/Jakarta","2021-10-12 18:34","2021-10-12 15:49","","gate-tour.com","","GateOneVoyages","","","Qwords.com Web Hosting Indonesia Murah, Reliable Fast Web Hosting With Reasonable Price, Indonesia Web Hosting Murah services, Indonesia Hosting Murah","","","","","","","0.0","","",""
"6934672128","","2021-09-14 17:54","","","","","globaloneworld.com","","","","2.0","","","0.0","2021-09-14 17:53","2021-09-14 17:53","0.0","","","","","","","","2021-09-14 17:53","","Direct Traffic","","1.0","","","2021-09-14 17:53","Konsultan Pendidikan Sekolah Studi Luar Negeri Lowongan Kerja Education Overseas Migration Berpengalaman 3 in 1 Services Education, Migration Recruitment Australia, Singapore, New Zealand, China, Hong Kong, Malaysia, USA, UK, Canada, Switzerland","Relomate: .col-3, .login-form","","","Global One International","0.0","","1.0","","","","","","","","","","","","1.0","app.relomate.co/login","2021-09-14 17:53","0.0","","","","","","Relomate: .col-3, .login-form","","","Zopim","United States","2021-09-14 17:53","","2021-09-14 17:54","2021-09-14 17:53","","globaloneworld.com","","globaloneworld","","","Konsultan Pendidikan Sekolah Studi Luar Negeri Lowongan Kerja Education Overseas Migration Berpengalaman 3 in 1 Services Education, Migration Recruitment Australia, Singapore, New Zealand, China, Hong Kong, Malaysia, USA, UK, Canada, Switzerland","","","","","","false","0.0","","",""
"6799799630","","2021-11-04 17:05","","","","","super-star.com.au","","","","33.0","50.0","","0.0","2021-11-04 17:03","2021-08-25 14:20","0.0","","","","","","","","2021-08-25 14:20","","Direct Traffic","","14.0","","","2021-08-25 14:20","(formerly known as SUN Sydney & SUN Melbourne) Superstar Education provides superior services for assisting your educational related needs and work.","Relomate: .row","","","Superstar Education","0.0","","16.0","","","","","","","","","","https://www.linkedin.com/company/superstar-education-surabaya","","7.0","app.relomate.co/registration","2021-11-04 17:03","0.0","","","","","","Relomate: .col-12, .login-form","","","Google Apps","Australia","2021-08-25 14:20","","2021-11-04 17:03","2021-08-25 14:20","","super-star.com.au","2013","Superstar_Edu","","","(formerly known as SUN Sydney & SUN Melbourne) Superstar Education provides superior services for assisting your educational related needs and work.","1.0E7","","","","","false","0.0","","",""
"6768465312","","2021-10-07 03:21","","","20001","","company.com","","","","0.0","200.0","","0.0","","","0.0","","","","","","","","","","Offline Sources","","","","https://facebook.com/thecompanydotcompage","2021-08-20 03:18","We are a group of passionate entrepreneurs who began Company.com in 2008 after starting, running, growing- and ultimately selling – a few companies of our own. We know what it’s like to have epic enthusiasm and inspiration for a business concept, then ...","","","","Company.com","0.0","","0.0","6789090560","","","","","","","","","https://www.linkedin.com/company/companydotcom","","0.0","API","","0.0","PublicObjectResource","","","","1117 Perimeter Ctr","","","","Route 53; Wordpress; Salesforce; Rackspace Email; App Nexus; Stripe; Nginx; Hotjar; Google Tag Manager; Amazon S3; Marketo; Google Analytics","United States","2021-08-20 03:18","","","2021-08-20 03:18","","company.com","2009","companydotcom","","","We are a group of passionate entrepreneurs who began Company.com in 2008 after starting, running, growing- and ultimately selling – a few companies of our own. We know what it’s like to have epic enthusiasm and inspiration for a business concept, then ...","5.0E7","","Computer Software","","STE #1010","false","0.0","","",""
"6677661980","","2021-08-25 02:41","","","","","claytonservicedapartments.com","","","","0.0","","","0.0","","","0.0","","","","","","","","","","Offline Sources","","","","","2021-08-03 12:36","Clayton Serviced Apartments offers convenient and modern self-contained accommodation just moments from Monash Precinct in Clayton and Notting Hill.","","","","Claytons Serviced Apartments Stay Privacy","0.0","","0.0","","","","","","","","","","","","0.0","API","","0.0","PublicObjectResource","","","","","","","","Microsoft Exchange Online; Microsoft Office 365; Nginx; Wordpress; Recaptcha; Google Analytics; Godaddy Nameserver; Outlook","","2021-08-03 12:36","","","2021-08-03 12:36","","claytonservicedapartments.com","","","","","Clayton Serviced Apartments offers convenient and modern self-contained accommodation just moments from Monash Precinct in Clayton and Notting Hill.","","","","","","false","0.0","","",""
"6670305189","","2021-09-23 14:09","","","3000","","monoapartments.com","","","","0.0","","","0.0","","","0.0","","","","","","","","","","Offline Sources","","","","https://facebook.com/monoapartments","2021-08-02 12:07","Modern Nomads (Mono) Apartments offers urban short and long term apartment accommodation in Melbourne with amenities that will make you feels like home.","","","Melbourne","Mono Apartments","0.0","","0.0","","","","","","","","","Victoria","","","0.0","API","","0.0","PublicObjectResource","","","","2 Spencer Street","","","","Nginx; Wordpress; Google Analytics; Intercom; Twitter Button; Piwik; Google Apps; HubSpot","Australia","2021-08-02 12:07","Australia/Melbourne","","2021-08-02 12:07","","monoapartments.com","","","","","Modern Nomads (Mono) Apartments offers urban short and long term apartment accommodation in Melbourne with amenities that will make you feels like home.","","","","","","false","0.0","","",""
